date,confirmed_sum,deaths_sum,recovered_sum,New Case
2020-01-22,555,17,28,NA
2020-01-23,654,18,30,99
2020-01-24,941,26,36,287
2020-01-25,1434,42,39,493
2020-01-26,2118,56,52,684
2020-01-27,2927,82,61,809
2020-01-28,5578,131,107,2651
2020-01-29,6166,133,126,588
2020-01-30,8234,171,143,2068
2020-01-31,9927,213,222,1693
2020-02-01,12038,259,284,2111
2020-02-02,16787,362,472,4749
2020-02-03,19887,426,623,3100
2020-02-04,23898,492,852,4011
2020-02-05,27642,564,1124,3744
2020-02-06,30801,634,1487,3159
2020-02-07,34397,719,2011,3596
2020-02-08,37130,806,2616,2733
2020-02-09,40161,906,3244,3031
2020-02-10,42768,1013,3946,2607
2020-02-11,44809,1113,4683,2041
2020-02-12,45228,1118,5149,419
2020-02-13,60376,1371,6294,15148
2020-02-14,66894,1523,8057,6518
2020-02-15,69039,1666,9394,2145
2020-02-16,71233,1770,10864,2194
2020-02-17,73268,1868,12582,2035
2020-02-18,75146,2007,14351,1878
2020-02-19,75650,2122,16120,504
2020-02-20,76210,2247,18176,560
2020-02-21,76833,2251,18887,623
2020-02-22,78586,2458,22883,1753
2020-02-23,78977,2469,23391,391
2020-02-24,79542,2629,25224,565
2020-02-25,80393,2708,27902,851
2020-02-26,81370,2770,30381,977
2020-02-27,82733,2814,33271,1363
2020-02-28,84106,2872,36705,1373
2020-02-29,86005,2941,39776,1899
2020-03-01,88383,2996,42710,2378
2020-03-02,90356,3085,45596,1973
2020-03-03,92933,3160,48222,2577
2020-03-04,95235,3254,51164,2302
2020-03-05,98023,3347,53790,2788
2020-03-06,101971,3459,55859,3948
2020-03-07,106004,3558,58351,4033
2020-03-08,109963,3801,60686,3959
2020-03-09,113844,3987,62485,3881
2020-03-10,118880,4263,64396,5036
2020-03-11,126546,4611,66994,7666
2020-03-12,132240,4913,68315,5694
2020-03-13,146672,5411,70242,14432
2020-03-14,157773,5830,72613,11101
2020-03-15,168954,6469,76023,11181
2020-03-16,183593,7148,78076,14639
2020-03-17,199419,7954,80828,15826
2020-03-18,218989,8849,83311,19570
2020-03-19,246905,9954,84948,27916
2020-03-20,276475,11435,87393,29570
2020-03-21,308790,13141,91656,32315
2020-03-22,342252,14841,97871,33462
2020-03-23,384404,16758,98336,42152
2020-03-24,425535,19028,107875,41131
2020-03-25,476369,21803,113585,50834
2020-03-26,539307,24810,121949,62938
2020-03-27,603674,28324,130646,64367
2020-03-28,671309,32003,138930,67635
2020-03-29,730880,35471,148397,59571
2020-03-30,795425,39633,163834,64545
2020-03-31,871674,44477,176194,76249
2020-04-01,947840,50027,191552,76166
2020-04-02,1029275,56334,208182,81435
2020-04-03,1112215,62314,223189,82940
2020-04-04,1192742,68163,243197,80527
2020-04-05,1264109,73178,256601,71367
2020-04-06,1337062,79015,272990,72953
2020-04-07,1413812,86922,295842,76750
2020-04-08,1497403,93651,324194,83591
2020-04-09,1583844,101266,348522,86441
2020-04-10,1671729,108531,369646,87885
2020-04-11,1748223,114586,395158,76494
2020-04-12,1845226,120317,414027,97003
2020-04-13,1915142,126070,440558,69916
2020-04-14,1984840,132972,465199,69698
2020-04-15,2065566,141271,501110,80726
2020-04-16,2162241,148568,531206,96675
2020-04-17,2250566,157457,556479,88325
2020-04-18,2323831,163928,579981,73265
2020-04-19,2404673,168506,610748,80842
2020-04-20,2477668,173929,632054,72995
2020-04-21,2552783,181080,666235,75115
2020-04-22,2629660,187837,695398,76877
2020-04-23,2719097,194706,723881,89437
2020-04-24,2806113,201387,773522,87016
2020-04-25,2890304,206961,800432,84191
2020-04-26,2963242,210840,828162,72938
2020-04-27,3032503,215478,854575,69261
2020-04-28,3107085,221931,886872,74582
2020-04-29,3183962,228695,927944,76877
2020-04-30,3267740,234652,991808,83778
2020-05-01,3354731,239824,1028693,86991
2020-05-02,3435281,245142,1068554,80550
2020-05-03,3513023,248584,1099769,77742
2020-05-04,3589133,252739,1132720,76110
2020-05-05,3669172,258618,1168349,80039
2020-05-06,3759093,265272,1213087,89921
2020-05-07,3848305,270689,1251504,89212
2020-05-08,3939833,276252,1287042,91528
2020-05-09,4023441,280515,1339561,83608
2020-05-10,4099732,284085,1372308,76291
2020-05-11,4176006,287547,1418404,76274
2020-05-12,4259403,293090,1454391,83397
2020-05-13,4344421,298321,1509111,85018
2020-05-14,4441499,303592,1547918,97078
2020-05-15,4537879,308805,1595086,96380
2020-05-16,4629672,312958,1650752,91793
2020-05-17,4708205,316297,1690906,78533
2020-05-18,4796476,319584,1743116,88271
2020-05-19,4892934,324375,1794463,96458
2020-05-20,4995742,329236,1852648,102808
2020-05-21,5102278,334028,1902975,106536
2020-05-22,5209244,339314,2010748,106966
2020-05-23,5308225,343305,2065009,98981
2020-05-24,5403524,346127,2119762,95299
2020-05-25,5490497,347309,2182812,86973
2020-05-26,5583031,351520,2237325,92534
2020-05-27,5685633,356707,2299820,102602
2020-05-28,5803599,361392,2365953,117966
2020-05-29,5924709,366076,2442334,121110
2020-05-30,6053134,370211,2512188,128425
2020-05-31,6160243,373078,2587796,107109
2020-06-01,6256493,376608,2641807,96250
2020-06-02,6369046,381307,2745291,112553
2020-06-03,6496381,387013,2823638,127335
2020-06-04,6623083,392161,2892984,126702
2020-06-05,6755724,396983,2961245,132641
2020-06-06,6881530,400801,3032422,125806
2020-06-07,6993970,403550,3086926,112440
2020-06-08,7097409,407306,3237848,103439
2020-06-09,7220392,412161,3319329,122983
2020-06-10,7354172,417366,3397362,133780
2020-06-11,7492360,422150,3482329,138188
2020-06-12,7621346,426445,3561141,128986
2020-06-13,7755445,430695,3646256,134099
2020-06-14,7888575,434041,3716214,133130
2020-06-15,8010360,437545,3795613,121785
2020-06-16,8149939,444334,3893008,139579
2020-06-17,8325831,449605,4010413,175892
2020-06-18,8464706,454614,4091040,138875
2020-06-19,8645640,460883,4185510,180934
2020-06-20,8803904,465151,4300822,158264
2020-06-21,8934807,469208,4369091,130903
2020-06-22,9072666,472779,4460324,137859
2020-06-23,9238013,478203,4563932,165347
2020-06-24,9405649,483377,4679247,167636
2020-06-25,9583608,489928,4771711,177959
2020-06-26,9774609,494773,4878026,191001
2020-06-27,9952423,499291,4984068,177814
2020-06-28,10117641,502450,5072856,165218
2020-06-29,10273510,506076,5166760,155869
2020-06-30,10447879,511268,5283724,174369
2020-07-01,10664168,516253,5399355,216289
2020-07-02,10871926,521361,5683748,207758
2020-07-03,11076086,526419,5793219,204160
2020-07-04,11269114,530767,5988655,193028
2020-07-05,11452196,534280,6107828,183082
2020-07-06,11620096,538058,6231058,167900
